country_id,code,name,status
33,,Plovdiv,1
33,,Razgrad,1
33,,Shumen,1
33,,Silistra,1
33,,Sliven,1
33,,Smolyan,1
33,,Sofia,1
33,,Sofia-town,1
33,,StaraZagora,1
33,,Targovishte,1
33,,Varna,1
33,,VelikoTarnovo,1
33,,Vidin,1
33,,Vratza,1
33,,Yambol,1
34,BAL,Bale,1
34,BAM,Bam,1
34,BAN,Banwa,1
34,BAZ,Bazega,1
34,BOR,Bougouriba,1
34,BLG,Boulgou,1
34,BOK,Boulkiemde,1
34,COM,Comoe,1
34,GAN,Ganzourgou,1
34,GNA,Gnagna,1
34,GOU,Gourma,1
34,HOU,Houet,1
34,IOA,Ioba,1
34,KAD,Kadiogo,1
34,KEN,Kenedougou,1
34,KOD,Komondjari,1
34,KOP,Kompienga,1
34,KOS,Kossi,1
34,KOL,Koulpelogo,1
34,KOT,Kouritenga,1
34,KOW,Kourweogo,1
34,LER,Leraba,1
34,LOR,Loroum,1
34,MOU,Mouhoun,1
34,NAH,Nahouri,1
34,NAM,Namentenga,1
34,NAY,Nayala,1
34,NOU,Noumbiel,1
34,OUB,Oubritenga,1
34,OUD,Oudalan,1
34,PAS,Passore,1
34,PON,Poni,1
34,SAG,Sanguie,1
34,SAM,Sanmatenga,1
34,SEN,Seno,1
34,SIS,Sissili,1
34,SOM,Soum,1
34,SOR,Sourou,1
34,TAP,Tapoa,1
34,TUY,Tuy,1
34,YAG,Yagha,1
34,YAT,Yatenga,1
34,ZIR,Ziro,1
34,ZOD,Zondoma,1
34,ZOW,Zoundweogo,1
35,BB,Bubanza,1
35,BJ,Bujumbura,1
35,BR,Bururi,1
35,CA,Cankuzo,1
35,CI,Cibitoke,1
35,GI,Gitega,1
35,KR,Karuzi,1
35,KY,Kayanza,1
35,KI,Kirundo,1
35,MA,Makamba,1
35,MU,Muramvya,1
35,MY,Muyinga,1
35,MW,Mwaro,1
35,NG,Ngozi,1
35,RT,Rutana,1
35,RY,Ruyigi,1
36,PP,PhnomPenh,1
36,PS,PreahSeihanuKompongSomorSihanoukville),1
36,PA,Pailin,1
36,KB,Keb,1
36,BM,BanteayMeanchey,1
36,BA,Battambang,1
36,KM,KampongCham,1
36,KN,KampongChhnang,1
36,KU,KampongSpeu,1
36,KO,KampongSom,1
36,KT,KampongThom,1
36,KP,Kampot,1
36,KL,Kandal,1
36,KK,KaohKong,1
36,KR,Kratie,1
36,MK,MondulKiri,1
36,OM,OddarMeancheay,1
36,PU,Pursat,1
36,PR,PreahVihear,1
36,PG,PreyVeng,1
36,RK,RatanakKiri,1
36,SI,Siemreap,1
36,ST,StungTreng,1
36,SR,SvayRieng,1
36,TK,Takeo,1
37,ADA,AdamawaAdamaoua),1
37,CEN,Centre,1
37,EST,EastEst),1
37,EXN,ExtremeNorthExtreme-Nord),1
37,LIT,Littoral,1
37,NOR,NorthNord),1
37,NOT,NorthwestNord-Ouest),1
37,OUE,WestOuest),1
37,SUD,SouthSud),1
37,SOU,SouthwestSud-Ouest).,1
38,AB,Alberta,1
38,BC,BritishColumbia,1
38,MB,Manitoba,1
38,NB,NewBrunswick,1
38,NL,NewfoundlandandLabrador,1
38,NT,NorthwestTerritories,1
38,NS,NovaScotia,1
38,NU,Nunavut,1
38,ON,Ontario,1
38,PE,PrinceEdwardIsland,1
38,QC,Qu&eacute;bec,1
38,SK,Saskatchewan,1
38,YT,YukonTerritory,1
39,BV,BoaVista,1
39,BR,Brava,1
39,CS,CalhetadeSaoMiguel,1
39,MA,Maio,1
39,MO,Mosteiros,1
39,PA,Paul,1
39,PN,PortoNovo,1
39,PR,Praia,1
39,RG,RibeiraGrande,1
39,SL,Sal,1
39,CA,SantaCatarina,1
39,CR,SantaCruz,1
39,SD,SaoDomingos,1
39,SF,SaoFilipe,1
39,SN,SaoNicolau,1
39,SV,SaoVicente,1
39,TA,Tarrafal,1
40,CR,Creek,1
40,EA,Eastern,1
40,ML,Midland,1
40,ST,SouthTown,1
40,SP,SpotBay,1
40,SK,StakeBay,1
40,WD,WestEnd,1
40,WN,Western,1
41,BBA,Bamingui-Bangoran,1
41,BKO,Basse-Kotto,1
41,HKO,Haute-Kotto,1
41,HMB,Haut-Mbomou,1
41,KEM,Kemo,1
41,LOB,Lobaye,1
